"userid","ope","con","ext","agr","neu","item_level","blocks","date"
"0000bc16c8cd37af06a426da70817b67",5.0,2.75,4.0,3.75,2.5,1,20,""
"0000e06e07496624211632e8e264126c",4.0,4.75,4.5,2.5,3.75,1,20,""
"0001093b22d1ea8b6615eaf63245347b",3.75,3.25,3.75,3.5,2.0,1,20,""
"00010cd7a9e5b6eb882e136f5cd7b4a7",3.75,5.0,3.5,4.5,2.25,1,20,""
"00018d018ebf46845eb72194ebb342fc",4.75,3.5,2.25,3.75,3.0,1,20,""
"0001ed47f7eb72267aee26d0bf970f1d",4.0,3.75,4.25,4.0,1.75,1,20,""
"000235a2ba2f48231b7d24e1f08d7878",3.8,3.3,3.8,3.7,1.8,1,50,""
"000237c83ace655f4fa8250aff6132e9",3.0,5.0,4.5,3.75,3.5,1,20,""
"0002ba0bf44704df11281be926a5fa04",3.9,2.45,3.2,4.2,2.95,1,100,""
"00032d47d131edcc103862f4296bdc20",3.75,4.5,4.25,3.0,2.75,1,20,""
"00035a29fa913610d9dfd1c6d6a15fd6",4.35,4.4,3.25,3.25,2.0,1,100,""
"0003bef6fb83af188b61c7b52ca52033",4.0,2.5,2.75,2.75,3.75,1,20,""
"0003e82099f3087d16b301104330547c",4.63,2.0,4.0,3.63,3.25,1,40,""
"0004bbd9bc0870332f5e407d2227b036",2.75,4.5,4.0,3.25,3.25,1,20,""
"0004ea9c4289bb9f73684c8152eaea4b",2.5,3.0,4.5,2.0,3.25,1,20,""
"00052468351d26312044e2d38689c193",3.25,3.25,3.5,2.75,3.5,1,20,""
"0005315ca8df1a496baaf2893cad5baf",4.5,4.0,2.0,2.75,3.0,1,20,""
"0005d4ec65263dcc9787d7a130adf50c",3.55,3.75,4.25,4.4,2.6,1,100,""
"0006e532ab43feae0814b4ff2a395d95",2.5,3.5,3.5,4.0,2.25,1,20,""
"00079b5489456b2d336815179bf3b837",3.63,3.25,4.13,3.88,1.25,1,40,""
"00082a96ca78b2883a3e24b9e8823567",3.05,3.65,2.75,3.3,2.7,1,100,""
